N,Delta,Euromax,HOME,Moerdijk,Venlo,Duisburg,Willebroek,Neuss,Dortmund,Nuremberg
Delta,0,15,37.5,75,195,240,150,262.5,300,675
Euromax,15,0,45,90,210,247.5,165,270,315,712.5
HOME,37.5,45,0,45,172.5,202.5,112.5,225,255,660
Moerdijk,75,90,45,0,135,180,95,190,234,638
Venlo,195,210,172.5,135,0,60,161,67.5,112.5,495
Duisburg,240,247.5,202.5,180,60,0,201,37.5,67.5,450
Willebroek,150,165,112.5,95,161,201,0,206,257,634
Neuss,262.5,270,225,190,67.5,37.5,206,0,76,444
Dortmund,300,315,255,234,112.5,67.5,257,76,0,436
Nuremberg,675,712.5,660,638,495,450,634,444,436,0
