N,Delta,Euromax,HOME,Moerdijk,Venlo,Duisburg,Willebroek,Neuss,Dortmund,Nuremberg
Delta,0,15,37.5,75,195,240,165,255,1000000000,1000000000
Euromax,15,0,1000000000,82.5,202.5,247.5,172.5,262.5,1000000000,1000000000
HOME,37.5,1000000000,0,45,165,232.5,157.5,1000000000,1000000000,1000000000
Moerdijk,75,82.5,45,0,150,180,1000000000,1000000000,1000000000,1000000000
Venlo,195,202.5,165,150,0,1000000000,1000000000,1000000000,1000000000,1000000000
Duisburg,240,247.5,232.5,180,1000000000,0,1000000000,37.5,1000000000,1000000000
Willebroek,165,172.5,157.5,1000000000,1000000000,1000000000,0,1000000000,1000000000,1000000000
Neuss,255,262.5,1000000000,1000000000,1000000000,37.5,1000000000,0,1000000000,1000000000
Dortmund,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,0,1000000000
Nuremberg,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,0
