N,Delta,Euromax,HOME,Moerdijk,Venlo,Duisburg,Willebroek,Neuss,Dortmund,Nuremberg
Delta,0,15,37.5,75,195,240,150,262.5,300,675
Euromax,15,0,45,90,210,247.5,165,270,315,712.5
HOME,37.5,45,0,45,172.5,202.5,112.5,225,255,660
Moerdijk,75,90,45,0,135,180,95,1000000000,1000000000,1000000000
Venlo,195,210,172.5,135,0,60,1000000000,67.5,112.5,495
Duisburg,240,247.5,202.5,180,60,0,1000000000,37.5,67.5,450
Willebroek,150,165,112.5,95,1000000000,1000000000,0,1000000000,1000000000,1000000000
Neuss,262.5,270,225,1000000000,67.5,37.5,1000000000,0,1000000000,1000000000
Dortmund,300,315,255,1000000000,112.5,67.5,1000000000,1000000000,0,1000000000
Nuremberg,675,712.5,660,1000000000,495,450,1000000000,1000000000,1000000000,0
,,,,,,,,,,
,,,,,,,,,,
,,21,,,,,,,,
