,origin,destination,path,service_ids,first_service_mode,last_service_mode,first_service,first_service_departure,service_capacities,service_capacity,total_transport_cost,transshipment_cost,transshipment_time,storage_time,storage_cost,total_cost,last_service_arrival,Transshipment Terminal(s),Loading_cost_at_origin,Unloading_cost_at_destination
0,Delta,Euromax,Delta to Euromax,Barge01,Barge,Barge,Barge01,53,160,160,0.9317,0.0,0,0.0,0.0,0.9317,,0,3.0,3.0
1,Delta,HOME,Delta to HOME,Barge02,Barge,Barge,Barge02,53,160,160,2.32925,0.0,0,0.0,0.0,2.32925,,0,3.0,3.0
2,Delta,Moerdijk,Delta to Euromax -> Euromax to Moerdijk,"Barge01, Barge34",Barge,Barge,Barge01,53,"160, 160",160,6.05605,6.0,1,42.0,42.0,54.05605,,Euromax,3.0,3.0
3,Delta,Moerdijk,Delta to HOME -> HOME to Moerdijk,"Barge02, Barge42",Barge,Barge,Barge02,53,"160, 160",160,5.12435,6.0,1,42.5,42.5,53.62435,,HOME,3.0,3.0
4,Delta,Moerdijk,Delta to Moerdijk,Barge03,Barge,Barge,Barge03,3,160,160,4.6585,0.0,0,0.0,0.0,4.6585,,0,3.0,3.0
5,Delta,Moerdijk,Delta to Moerdijk,Barge04,Barge,Barge,Barge04,15,160,160,4.6585,0.0,0,0.0,0.0,4.6585,,0,3.0,3.0
6,Delta,Moerdijk,Delta to Moerdijk,Barge05,Barge,Barge,Barge05,27,160,160,4.6585,0.0,0,0.0,0.0,4.6585,,0,3.0,3.0
7,Delta,Moerdijk,Delta to Moerdijk,Barge06,Barge,Barge,Barge06,39,160,160,4.6585,0.0,0,0.0,0.0,4.6585,,0,3.0,3.0
8,Delta,Moerdijk,Delta to Moerdijk,Barge07,Barge,Barge,Barge07,51,160,160,4.6585,0.0,0,0.0,0.0,4.6585,,0,3.0,3.0
9,Delta,Moerdijk,Delta to Moerdijk,Barge08,Barge,Barge,Barge08,63,160,160,4.6585,0.0,0,0.0,0.0,4.6585,,0,3.0,3.0
10,Delta,Moerdijk,Delta to Moerdijk,Barge09,Barge,Barge,Barge09,75,160,160,4.6585,0.0,0,0.0,0.0,4.6585,,0,3.0,3.0
11,Delta,Moerdijk,Delta to Moerdijk,Barge10,Barge,Barge,Barge10,87,160,160,4.6585,0.0,0,0.0,0.0,4.6585,,0,3.0,3.0
12,Delta,Moerdijk,Delta to Moerdijk,Barge11,Barge,Barge,Barge11,99,160,160,4.6585,0.0,0,0.0,0.0,4.6585,,0,3.0,3.0
13,Delta,Moerdijk,Delta to Moerdijk,Barge12,Barge,Barge,Barge12,111,160,160,4.6585,0.0,0,0.0,0.0,4.6585,,0,3.0,3.0
14,Delta,Moerdijk,Delta to Moerdijk,Barge13,Barge,Barge,Barge13,123,160,160,4.6585,0.0,0,0.0,0.0,4.6585,,0,3.0,3.0
15,Delta,Moerdijk,Delta to Moerdijk,Barge14,Barge,Barge,Barge14,135,160,160,4.6585,0.0,0,0.0,0.0,4.6585,,0,3.0,3.0
16,Delta,Moerdijk,Delta to Moerdijk,Barge15,Barge,Barge,Barge15,147,160,160,4.6585,0.0,0,0.0,0.0,4.6585,,0,3.0,3.0
17,Delta,Moerdijk,Delta to Moerdijk,Barge16,Barge,Barge,Barge16,159,160,160,4.6585,0.0,0,0.0,0.0,4.6585,,0,3.0,3.0
18,Delta,Venlo,Delta to Euromax -> Euromax to Venlo,"Barge01, Barge36",Barge,Barge,Barge01,53,"160, 160",160,13.509649999999999,6.0,1,18.0,18.0,37.50965,,Euromax,3.0,3.0
19,Delta,Venlo,Delta to Euromax -> Euromax to Venlo,"Barge01, Train17",Barge,Train,Barge01,53,"160, 90",90,48.08495,21.0,1,21.0,21.0,90.08494999999999,,Euromax,3.0,18.0
20,Delta,Venlo,Delta to Euromax -> Euromax to Venlo,"Barge01, Train18",Barge,Train,Barge01,53,"160, 90",90,48.08495,21.0,1,45.0,45.0,114.08494999999999,,Euromax,3.0,18.0
21,Delta,Venlo,Delta to HOME -> HOME to Venlo,"Barge02, Barge43",Barge,Barge,Barge02,53,"160, 160",160,12.57795,6.0,1,40.5,40.5,59.07795,,HOME,3.0,3.0
22,Delta,Venlo,Delta to HOME -> HOME to Venlo,"Barge02, Barge44",Barge,Barge,Barge02,53,"160, 160",160,12.57795,6.0,1,67.5,67.5,86.07795,,HOME,3.0,3.0
