,Demand_ID,Origin,Destination,Release Time,Due Time,Service_week,Volume,Announce Time,Solution_List
0,Request1,Delta,Neuss,3,76,0.0,7,0,"Barge01, Barge39; Barge31; Barge17, Truck29; Barge18, Truck29; Barge26, Barge49; Barge04, Barge48, Barge49; Barge05, Barge48, Barge49; Barge06, Barge48, Barge49; Barge07, Barge48, Barge49; Barge19, Truck29"
1,Request10,Delta,Dortmund,59,149,0.0,14,0,"Barge26, Train32; Barge21, Train30; Barge22, Train30; Barge23, Train30; Barge08, Barge47, Train30; Barge09, Barge47, Train30; Barge26, Truck33; Barge21, Truck30; Train14; Barge22, Truck30"
2,Request100,Euromax,Venlo,180,327,1.0,13,144,"Barge35; Barge36; Barge33, Barge47; Barge33, Train27; Train17; Barge33, Truck25; Train18; Barge33, Truck25"
3,Request101,Delta,Neuss,238,342,1.0,20,144,"Barge31; Barge26, Barge49; Barge26, Truck32; Barge23, Train29; Barge09, Barge47, Train29; Barge23, Truck29; Barge09, Barge47, Truck29; Train13; Train10, Barge49; Train11, Barge49"
4,Request102,Delta,Dortmund,174,315,1.0,24,144,"Barge26, Train32; Barge04, Barge48, Train32; Barge05, Barge48, Train32; Barge06, Barge48, Train32; Barge07, Barge48, Train32; Barge04, Barge47, Train30; Barge05, Barge47, Train30; Barge06, Barge47, Train30; Barge07, Barge47, Train30; Barge01, Barge36, Train30"
5,Request103,Euromax,Duisburg,188,262,1.0,8,144,"Barge33, Barge48; Barge37; Barge33, Train28; Train19; Train20; Barge33, Truck26; Barge33, Truck26"
6,Request104,Euromax,Venlo,178,275,1.0,8,144,"Barge35; Barge36; Barge33, Barge47; Barge33, Train27; Train17; Barge33, Truck25; Train18; Barge33, Truck25"
7,Request105,Delta,Neuss,152,226,1.0,25,144,"Barge31; Barge17, Truck29; Barge18, Truck29; Barge26, Barge49; Barge03, Barge48, Barge49; Barge04, Barge48, Barge49; Barge05, Barge48, Barge49; Barge06, Barge48, Barge49; Barge07, Barge48, Barge49; Barge19, Truck29"
8,Request106,Euromax,Nuremberg,189,299,1.0,12,144,"Barge33, Barge48, Train33; Train23; Barge33, Train28, Train33; Train19, Train33; Train20, Train33; Barge33, Truck26, Train33; Barge35, Truck31; Barge33, Truck26, Train33; Barge33, Barge48, Truck34; Barge36, Truck31"
9,Request107,Delta,Willebroek,179,285,1.0,23,144,"Barge28; Barge29; Barge01, Barge38; Barge30; Barge01, Truck14"
