Episode,Total Storage Cost,Total Travel Cost,Total Handling Cost,Total Delay Penalty,Total Cost,Total Reward,Total Late Departure,Number of Late Departure,RL Triggers,Shipment to RL,Undelivered Requests,Wait Actions,Reassign Actions
1,173096.03333333327,191137.6042633334,89970.0,35350.66666666667,489554.3042633335,-131897.71574,4369,24,12,1,0,46,0
2,152337.2166666666,189113.9921866668,89970.0,16844.916666666668,448266.1255200001,-98098.01428333334,7580,31,14,0,0,52,0
3,150593.0166666666,188732.7596800001,89970.0,16578.483333333334,445874.25968,-53291.753549999994,4264,27,12,1,0,30,0
4,151488.9666666666,191072.91180333347,89970.0,19487.13333333333,452019.0118033333,-89066.41588333335,3353,30,13,9,0,50,0
5,152674.1499999999,188750.77876666677,89970.0,19306.7,450701.6287666667,-62233.58886666669,1885,23,8,5,0,33,0
6,153940.16666666654,189506.88071000008,89970.0,21041.116666666665,454458.1640433334,-115447.14319666664,3197,26,10,3,0,50,0
7,154800.80000000002,189030.16644000006,89970.0,19778.350000000002,453579.31644,-123102.56894333335,4835,26,11,5,0,60,0
8,155046.19999999992,190390.8180600001,89970.0,21741.316666666666,457148.33472666674,-89367.57633333335,3083,25,12,3,0,47,0
9,153190.6166666666,190379.39260000008,89970.0,19326.23333333333,452866.2426000002,-127863.88785000001,2704,22,11,7,0,63,0
10,166881.51666666672,190849.85086333338,89970.0,30203.416666666664,477904.78419666644,-122896.70883333337,3758,23,11,12,0,55,0
11,152639.3166666666,197294.87329666672,89970.0,19239.1,459143.28996333346,-109583.96003333332,2688,24,8,1,0,37,0
12,155354.89999999994,190129.74290666677,89970.0,21758.400000000005,457213.04290666664,-90391.31766666665,5579,28,13,21,0,55,0
13,155712.66666666657,190427.50051000007,89970.0,19728.56666666667,455838.73384333344,-133245.37362,6033,34,21,12,0,73,0
14,156999.0666666666,190311.36854666678,89970.0,23221.65,460502.08521333337,-74367.52558333334,3781,26,11,22,0,54,0
15,149463.0166666667,189043.04304666672,89970.0,17251.916666666664,445727.97638,-71424.46473333334,2565,26,10,1,0,32,0
16,298322.06666666665,183506.30928000007,88044.0,88966.43333333333,658838.80928,-255328.73943999998,8814,33,16,17,4,62,0
17,168965.31666666656,194264.69313999996,89970.0,33358.58333333333,486558.59314000007,-94328.90350000001,4447,30,9,1,0,32,0
18,152879.88333333321,188831.47298000008,89970.0,19540.03333333333,451221.3896466667,-163230.6476166667,2609,22,11,3,0,73,0
19,149584.79999999993,191106.36417000004,89970.0,17098.85,447760.01417,-75843.4193,3742,26,10,0,0,37,0
20,148298.94999999992,188936.43862000006,89970.0,15082.416666666666,442287.80528666684,-92745.38323333334,4238,30,13,0,0,43,0
21,155736.5,190423.22167666676,89970.0,22828.38333333333,458958.1050099998,-58458.485700000005,2657,25,8,2,0,26,0
22,176656.74999999988,189139.4952333334,89970.0,40689.966666666674,496456.21190000005,-111778.95999999999,5707,24,11,26,0,55,0
