Episode,Total Storage Cost,Total Travel Cost,Total Handling Cost,Total Delay Penalty,Total Cost,Total Reward,Total Late Departure,Number of Late Departure,RL Triggers,Shipment to RL,Undelivered Requests,Wait Actions,Reassign Actions
1,163974.68333333338,196297.9344099999,95238.0,32824.666666666664,488335.28441,-155301.39658333338,3696,23,14,12,0,64,0
2,143852.6666666665,195023.35689999998,95238.0,16878.93333333333,450992.9569000001,-155800.21400000007,4180,28,14,8,0,64,0
3,140312.3166666666,196260.22005999996,95238.0,15415.349999999999,447225.8867266666,-69438.48428333334,1979,23,11,0,0,39,0
4,144373.81666666662,195078.19981666666,95238.0,16545.58333333333,451235.59981666674,-102237.81608333331,5043,28,11,6,0,53,0
5,140228.68333333323,198423.56555333323,95238.0,15615.483333333332,449505.73222000006,-66635.35935,1418,22,8,5,0,29,0
6,140150.56666666662,195451.26132333334,95238.0,15447.866666666665,446287.69465666654,-127470.56101666664,1598,24,14,19,0,70,0
7,142164.51666666655,194967.30999,95238.0,15601.116666666665,447970.94332333317,-61647.80608333334,2472,21,6,1,0,28,0
8,145075.63333333316,195616.27251666662,95238.0,17871.849999999995,453801.7558500002,-87040.94451666668,4170,29,11,13,0,46,0
9,140034.09999999995,195737.20093,95238.0,15443.749999999996,446453.0509299999,-95348.06788333337,1790,21,9,4,0,38,0
10,133744.49999999994,203195.74291666664,95238.0,9976.383333333333,442154.6262500002,-45376.638333333336,1996,24,11,2,0,29,0
11,146162.46666666662,197922.70455666663,95238.0,16490.566666666666,455813.7378900002,-57196.29565000003,5948,23,10,16,0,49,0
12,141201.54999999996,194952.80085,95238.0,15438.583333333332,446830.93418333324,-76041.13186666668,2310,27,8,2,0,38,0
13,152339.48333333325,202527.9854833333,95238.0,22567.350000000002,472672.81881666667,-189547.47049999997,5925,26,14,16,0,93,0
14,142566.19999999987,196179.60540999993,95238.0,16221.416666666668,450205.2220766666,-20145.737066666665,2356,22,6,7,0,11,0
15,136879.6833333333,195708.83865333325,95238.0,11133.816666666664,438960.33865333325,-67676.87948333334,3489,28,10,0,0,36,0
16,142959.1833333333,194993.92028333334,95238.0,15116.399999999996,448307.50361666665,-111163.40230333332,6140,28,12,5,0,45,0
17,141537.83333333323,201898.71754999997,95238.0,15382.0,454056.5508833333,-77863.172,3717,30,11,4,0,36,0
18,137542.04999999996,197929.4474166666,95238.0,13289.95,443999.44741666666,-57865.011966666665,1358,20,5,1,0,20,0
19,136755.8166666666,196457.12897333328,95238.0,13089.083333333332,441540.02897333336,-41416.89254999999,1319,21,8,2,0,20,0
20,139965.14999999994,195727.83176999996,95238.0,14173.316666666666,445104.2984366666,-84009.76408333334,4393,25,10,0,0,35,0
