Episode,Total Storage Cost,Total Travel Cost,Total Handling Cost,Total Delay Penalty,Total Cost,Total Reward,Total Late Departure,Number of Late Departure,RL Triggers,Shipment to RL,Undelivered Requests,Wait Actions,Reassign Actions
1,212341.19999999998,187213.23267666678,88110.0,77269.53333333333,564933.9660099999,-185064.29121666664,6010,31,17,20,0,61,0
2,195662.41666666657,185374.0080100001,88110.0,60440.45,529586.8746766665,-240921.41460999995,7995,30,20,31,0,114,0
3,193025.89999999994,179020.01147333338,85626.0,25589.416666666668,480563.1775599999,-126679.63360666667,3678,31,13,9,3,57,0
4,160785.56666666668,184244.7154200001,88110.0,30062.383333333335,463202.6654199999,-172814.90359999996,8516,32,22,22,0,90,0
5,151781.76666666675,184150.61007666678,88110.0,24437.733333333334,448480.1100766666,-69756.34185000001,4096,33,12,3,0,35,0
6,154136.09999999986,184249.23549666672,88110.0,25097.016666666666,451592.3521633334,-92773.28064999999,8928,39,14,8,0,47,0
7,155396.94999999995,186383.12794000003,88110.0,25913.649999999998,455803.7279399998,-137594.14762999996,4930,33,17,4,0,76,0
8,155458.5833333333,185621.3950100001,88110.0,26294.06666666667,455484.0450099998,-116340.57430333331,5530,39,15,3,0,54,0
9,161722.1333333332,185499.6510566667,88110.0,29791.633333333335,465123.4177233331,-107237.80136666668,6916,36,16,5,0,59,0
10,153978.5333333333,184539.28565333347,88110.0,25678.533333333333,452306.35232000006,-26317.3445,5871,33,10,14,0,29,0
11,153336.9666666666,185252.99742666679,88110.0,25981.583333333332,452681.5474266666,-75437.16993333332,3318,33,14,16,0,49,0
12,154031.7666666666,184009.3857400001,88110.0,26122.149999999998,452273.3024066667,-156752.92405666673,3823,32,14,12,0,87,0
13,156293.54999999996,188124.70287666676,88110.0,26204.5,458732.7528766668,-205481.57284999994,4567,37,19,26,0,113,0
14,152466.1999999999,187789.90503333337,88110.0,24741.683333333334,453107.7883666667,-88819.12581666668,2591,29,9,25,0,66,0
15,154716.61666666655,184147.46745000005,88110.0,24460.566666666666,451434.6507833332,-43994.29322333334,6237,34,9,1,0,28,0
16,157892.4166666666,194898.61189666673,88110.0,26956.033333333333,467857.0618966666,-85013.24300000003,7631,42,12,1,0,55,0
17,157627.04999999984,184091.4511500001,88110.0,27664.800000000003,457493.3011499999,-143719.5034833333,6899,30,13,16,0,83,0
18,151258.38333333324,191085.59769333337,88110.0,25034.733333333334,455488.7143599998,-151124.7913633333,3136,36,15,9,0,74,0
19,154239.88333333321,184281.90653666676,88110.0,26215.200000000004,452846.98987,-53875.66689999999,4465,37,10,5,0,31,0
20,165030.08333333328,184040.43448333346,88110.0,34893.78333333333,472074.30114999996,-181062.32541666666,8598,36,21,23,0,94,0
21,156668.23333333325,184801.57635666677,88110.0,26288.116666666665,455867.9263566665,-130111.83401999998,5240,34,19,17,0,68,0
22,158955.14999999997,184631.8164500001,88110.0,27079.249999999996,458776.21645000007,-175694.8425000001,9537,36,22,26,0,109,0
23,154681.13333333321,184171.1902000001,88110.0,25930.5,452892.82353333326,-80055.90320000002,3856,33,10,3,0,41,0
24,153921.23333333325,184983.39048000006,88110.0,26369.3,453383.9238133332,-161450.90781333332,3425,34,13,8,0,72,0
25,153811.23333333328,187783.05825000003,88110.0,26087.46666666667,455791.75824999984,-93254.17778333335,3055,29,12,2,0,48,0
26,160759.64999999994,186391.52349000008,88110.0,28237.066666666666,463498.2401566666,-116494.95498333334,4228,30,13,2,0,57,0
27,157496.56666666674,184361.76924666672,88110.0,29975.53333333333,459943.86924666644,-81823.47319,5804,27,9,13,0,46,0
28,154695.1833333333,184559.43807000012,88110.0,26681.166666666668,454045.78806999995,-115812.22287333327,6937,39,20,25,0,71,0
29,152240.84999999992,186071.91055333338,88110.0,24430.150000000005,450852.9105533333,-118058.38092666665,3023,29,12,5,0,46,0
30,226821.51666666655,184404.85699000015,87804.0,46132.73333333334,544330.9368766668,-179722.80281000002,6052,28,16,35,7,80,0
31,157115.11666666655,185446.13156666677,88110.0,26391.03333333333,457062.2815666667,-115807.42445,6123,41,20,11,0,81,0
32,153369.76666666658,184755.34123666675,88110.0,25987.233333333334,452222.3412366666,-156529.96064999996,4530,36,22,7,0,72,0
33,164101.26666666652,188274.77982666675,88110.0,30478.600000000002,470964.64649333333,-114575.80451666666,10037,37,16,3,0,61,0
34,163127.4499999999,185883.6970866668,88110.0,33107.48333333334,470228.63041999994,-183511.82523333325,4926,38,20,41,0,127,0
35,180567.54999999993,184697.54626333347,88110.0,43429.15,496804.2462633335,-132616.29068333335,4296,33,15,26,0,62,0
36,159851.53333333327,184650.5428000001,88110.0,30167.966666666667,462780.0428,-159946.67089999994,5798,30,18,20,0,93,0
37,168541.3833333333,184463.76058000015,88110.0,33167.63333333334,474282.77724666655,-152069.06145666668,9146,33,17,31,0,96,0
38,167321.61666666655,187639.8190100001,88110.0,30113.716666666667,473185.15234333323,-152006.46897666663,11003,40,17,5,0,76,0
39,154135.86666666673,184349.51385666677,88110.0,24663.01666666667,451258.3971899998,-172706.3004733333,5251,37,20,19,0,104,0
40,154258.35000000003,184303.32702000008,88110.0,25865.933333333334,452537.61035333324,-106042.50943333334,3308,26,12,6,0,47,0
41,156435.6166666666,186871.7954733334,88110.0,25882.93333333333,457300.34547333315,-144916.61783333332,5738,29,16,4,0,66,0
42,166502.39999999985,188180.57448000007,88110.0,32168.6,474961.57447999995,-119699.38179999999,5175,36,16,2,0,56,0
43,154112.46666666662,185897.30349666672,88110.0,26031.61666666667,454151.38682999986,-145550.03156000003,5094,34,11,2,0,66,0
44,159037.66666666654,188372.1124133334,88110.0,29993.350000000002,465513.12908,-111795.36051666667,5140,35,14,9,0,65,0
45,159092.3499999999,184728.12233666677,88110.0,28513.7,460444.1723366666,-90147.67433333333,6222,31,10,1,0,41,0
46,161564.5833333333,187360.31679666674,88110.0,32138.16666666667,469173.0667966666,-94253.1590833333,4844,34,15,7,0,50,0
47,153995.81666666662,186260.8943833335,88110.0,26330.199999999997,454696.91105,-164885.66970333335,4353,33,17,58,0,119,0
48,153916.86666666667,184986.56093000007,88110.0,26058.73333333333,453072.16092999984,-116353.76152666668,3840,31,13,1,0,58,0
49,172388.91666666654,184956.00485000017,88110.0,42545.600000000006,488000.52151666663,-183134.84636666664,3322,31,15,20,0,82,0
50,154361.38333333321,185241.35930333348,88110.0,26262.45,453975.19263666647,-54588.14843333333,3293,34,12,1,0,34,0
51,155111.63333333327,187773.8651633334,88110.0,26247.016666666666,457242.51516333333,-154465.72009999998,4744,35,22,21,0,94,0
52,154758.43333333326,186135.4370833334,88110.0,25923.8,454927.6704166666,-92855.23301666665,4582,36,16,7,0,59,0
53,156887.19999999995,184460.7301900001,88110.0,28948.916666666664,458406.84685666644,-94568.89106666668,4583,28,12,13,0,47,0
54,175641.81666666677,184357.30920333345,88110.0,42046.00000000001,490155.1258699997,-137835.31119999997,5989,30,11,3,0,48,0
55,157175.39999999985,185266.69455000007,88110.0,27419.1,457971.1945499999,-152842.3917666666,6955,33,17,14,0,72,0
56,163536.4166666666,190996.70530333344,88110.0,30675.716666666667,473318.83863666654,-185389.90881666675,5054,36,15,9,0,73,0
57,154900.49999999997,184023.21125666678,88110.0,26459.96666666666,453493.6779233333,-61902.168316666655,4151,32,8,0,0,24,0
58,154533.11666666652,186224.8952233333,88110.0,25892.63333333333,454760.64522333327,-172000.15653000004,4358,35,19,20,0,97,0
59,154129.66666666657,184596.8502933334,88110.0,24722.75,451559.26695999986,-29477.370366666662,4116,26,7,1,0,18,0
60,155749.3999999999,190983.9749200001,88110.0,28214.01666666666,463057.39158666664,-106527.3912533333,4744,30,13,30,0,69,0
61,154361.93333333326,185653.86347666674,88110.0,25898.716666666667,454024.5134766666,-83156.9594333333,3735,33,11,17,0,58,0
62,153337.09999999995,186642.32837333344,88110.0,25892.633333333335,453982.06170666654,-72917.07008,2188,28,8,3,0,28,0
63,194690.5499999999,187932.41175666678,88110.0,59950.81666666665,530683.7784233333,-248811.17933333333,7953,39,19,21,0,99,0
64,154021.99999999994,184373.5631133334,88110.0,25853.316666666662,452358.8797799999,-131954.00686333337,2806,29,14,10,0,69,0
65,157295.65,184460.38869000014,88110.0,26321.233333333334,456187.2720233335,-191980.79664999986,7972,40,19,16,0,98,0
66,160850.2166666666,184961.38977000013,88110.0,31707.233333333337,465628.83976999973,-190389.13473000008,6897,32,15,28,0,107,0
67,153721.9166666666,193149.82120333333,88110.0,26246.850000000002,461228.5878699998,-78852.01747333333,2294,29,9,10,0,44,0
68,157808.23333333325,189482.70000000004,88110.0,28167.899999999998,463568.8333333332,-149167.31200000003,2171,30,9,2,0,65,0
69,168577.93333333326,189589.94269000003,88110.0,33274.799999999996,479552.6760233334,-152184.7488733333,5675,36,18,15,0,73,0
70,153027.59999999986,188939.58724000005,88110.0,24863.183333333334,454940.3705733333,-147505.21255333337,4872,36,20,32,0,101,0
71,154473.9333333333,184855.88900333343,88110.0,25904.98333333333,453344.8056699998,-99559.13468333337,4793,36,14,14,0,51,0
72,200037.76666666655,183020.8150533334,85662.0,31057.18333333333,498356.0754533331,-122191.73525333333,5207,32,16,13,3,46,0
73,153016.06666666662,186063.09759666675,88110.0,25756.966666666667,452946.13092999987,-50514.55245,2481,28,10,10,0,40,0
74,155136.9333333333,183999.39667666677,88110.0,26044.850000000002,453291.1800099999,-107514.21643333333,3186,27,12,5,0,63,0
75,172087.4666666667,186158.2484700001,88110.0,39928.33333333332,486284.04846999975,-130741.89384999996,5345,36,20,30,0,86,0
76,154453.58333333328,185310.91264666678,88110.0,26213.383333333335,454087.87931333337,-95865.51524666669,3494,30,13,5,0,56,0
77,154179.7666666666,185081.0574833334,88110.0,24990.75,452361.57414999977,-101458.97688333332,4354,28,14,6,0,61,0
78,151693.8333333332,185917.13349666682,88110.0,24950.716666666667,450671.6834966664,-80158.97863,3351,33,14,14,0,47,0
79,155461.21666666665,192678.0600166667,88110.0,26785.15,463034.42668333324,-111859.98855666663,3929,31,12,4,0,44,0
80,156947.94999999987,186383.6660966667,88110.0,27379.550000000003,458821.1660966665,-163099.62920000002,3769,31,17,18,0,94,0
81,154007.1333333332,184456.44479000007,88110.0,26403.666666666668,452977.24478999985,-190412.83991999997,3497,33,17,22,0,96,0
82,157483.7666666666,184330.07650666672,88110.0,27938.86666666667,457862.70983999985,-156852.97221666668,6185,37,19,8,0,69,0
83,275429.38333333324,180851.81180000008,82746.0,25578.416666666668,560917.7721,-246516.59146333326,4520,37,21,36,6,112,0
84,156726.54999999984,184304.78241666674,88110.0,26747.316666666673,455888.64908333326,-167714.97200333333,6383,31,18,17,0,89,0
85,180625.4,185523.28920333344,88110.0,48416.55,502675.23920333345,-187834.86646666666,7900,35,14,5,0,65,0
86,156981.48333333322,185212.15345000004,88110.0,25682.516666666663,455986.15345,-121624.40366666671,7184,35,14,16,0,63,0
87,153464.94999999995,184346.63651666668,88110.0,26074.03333333333,451995.6198499999,-83718.94208666666,4523,35,11,7,0,41,0
88,327134.4,152937.0276833334,80550.0,24880.85,585502.2776833335,-190032.72898333333,3049,33,15,28,12,71,0
89,152036.54999999996,184310.79765666678,88110.0,24611.583333333336,449068.93098999996,-99215.5092666667,4050,37,9,10,0,57,0
90,154546.9666666666,187111.1586166667,88110.0,25982.416666666664,455750.5419499999,-55346.468116666685,3268,31,14,5,0,42,0
91,154432.88333333321,188635.47818000018,88110.0,26253.750000000007,457432.1115133334,-162457.89640000003,8034,33,19,11,0,94,0
92,154374.36666666658,184939.26633666677,88110.0,26347.766666666666,453771.39966999996,-135372.56983666663,6211,26,13,3,0,57,0
93,155964.5499999999,184189.4235566668,88110.0,26780.699999999997,455044.6735566666,-62698.09691666668,4912,34,13,11,0,48,0
94,154854.93333333326,185171.2962100001,88110.0,25973.050000000003,454109.2795433333,-85181.72714666667,4000,34,13,12,0,64,0
95,153987.21666666662,184819.66305000012,88110.0,23720.5,450637.3797166667,-185211.29831666668,7211,32,18,16,0,94,0
96,157215.44999999998,184808.46417666675,88110.0,27192.899999999998,457326.81417666643,-90433.9266266667,5211,30,13,2,0,56,0
97,153961.71666666673,184635.1537666668,88110.0,25446.51666666667,452153.38709999993,-104425.30785000003,4717,28,10,1,0,48,0
98,154230.0499999999,186121.83652666665,88110.0,25782.316666666666,454244.2031933332,-86619.31166666668,4673,35,8,3,0,39,0
99,152372.21666666656,184983.70163666678,88110.0,24171.750000000004,449637.6683033332,-64797.347350000004,3043,29,10,1,0,39,0
100,155766.09999999995,185208.7615100001,88110.0,26522.149999999998,455607.01150999987,-188964.94035,3520,30,15,20,0,102,0
