Episode,Total Storage Cost,Total Travel Cost,Total Handling Cost,Total Delay Penalty,Total Cost,Total Reward,Total Late Departure,Number of Late Departure,RL Triggers,Shipment to RL,Undelivered Requests,Wait Actions,Reassign Actions
1,188274.16666666654,193565.12832000008,88326.0,52734.61666666666,522899.91165333334,-166114.9267166667,4230,27,13,4,0,35,17
2,160575.55000000005,185052.5818200001,88596.0,30383.483333333337,464607.61515333335,-102559.64239999995,7325,34,14,1,0,45,8
3,157567.2833333333,185279.4323500001,89316.0,27138.083333333332,459300.7990166667,-52099.85555333334,3517,28,12,1,0,18,11
4,149486.81666666665,186017.12091666672,87630.0,22803.600000000002,445937.5375833332,-78834.64203333334,2997,31,10,3,0,36,10
5,154331.23333333328,184869.96611666676,88950.0,26002.333333333336,454153.5327833332,-67787.22911666667,1938,26,8,5,0,33,2
6,161875.91666666654,182641.58201333336,88776.0,28555.116666666665,461848.6153466663,-115821.75733333331,2672,27,9,5,0,41,14
7,161206.96666666667,189664.03965333337,88002.0,29718.9,468591.90631999995,-146782.63808666673,4868,25,11,7,0,54,12
8,151600.03333333333,185633.54326000012,87744.0,24733.699999999997,449711.27659333317,-91384.23793333334,3175,28,12,3,0,46,5
9,155165.5166666666,185246.35520000005,88920.0,25829.25,455161.12186666677,-129397.84088333335,2574,26,12,8,0,59,9
10,184980.3333333333,187268.59028000018,87012.0,50963.93333333335,510224.8569466666,-138009.1574,3186,26,17,19,0,39,23
11,158937.31666666668,191028.7429966668,88410.0,29981.533333333336,468357.59299666685,-115334.69798333335,2005,25,7,0,0,28,9
12,152280.88333333336,187823.36787333345,87882.0,25182.13333333334,453168.3845400002,-77786.53431666669,5281,29,11,22,0,50,7
13,154107.5666666667,187907.5379266667,89370.0,23222.816666666666,454607.9212599999,-127306.07826333334,5373,38,15,8,0,48,19
14,163250.20000000007,185130.7622866668,88020.0,35186.31666666666,471587.27895333315,-87403.62359999999,3764,27,10,24,0,56,4
15,152455.6666666666,184958.3141633334,87948.0,24229.100000000002,449591.0808299998,-65117.37603333331,2284,28,9,1,0,23,10
16,365869.19999999995,183245.9264166668,86058.0,109557.11666666668,744730.243083333,-325094.1982133333,7645,32,14,20,9,51,25
17,172876.21666666653,184494.85759000015,88572.0,42762.13333333334,488705.20758999995,-87519.78868333335,4161,32,8,0,0,23,7
18,160308.06666666662,185053.30138000014,88152.0,30271.783333333333,463785.1513799998,-201283.92561666662,2894,23,13,4,0,66,16
