Episode,Total Storage Cost,Total Travel Cost,Total Handling Cost,Total Delay Penalty,Total Cost,Total Reward,Total Late Departure,Number of Late Departure,RL Triggers,Shipment to RL,Undelivered Requests,Wait Actions,Reassign Actions
1,172528.33333333326,188308.0075400001,88164.0,39457.90000000001,488458.24087333336,-131729.02260333337,4629,28,13,5,0,35,18
2,151120.15,184665.87668666674,88026.0,22453.61666666667,446265.6433533334,-84201.73726666663,5182,32,14,5,0,46,11
3,157084.46666666662,185846.47845000002,89760.0,26349.966666666667,459040.9117833334,-51860.101653333324,3852,29,12,1,0,22,7
4,148550.96666666667,186742.60986666672,87606.0,22753.183333333334,445652.7598666665,-78561.86431666669,3261,32,10,3,0,37,9
5,157216.76666666652,189894.0115166668,88026.0,28734.933333333334,463871.71151666634,-77536.54118333333,1886,26,8,4,0,30,4
6,155809.54999999984,183873.99871333342,88014.0,25985.316666666666,453682.86537999986,-107668.05736666666,3214,29,9,4,0,45,9
7,167330.83333333326,186698.4046533334,89010.0,36877.76666666667,479917.0046533333,-158163.8203033333,4652,27,16,15,0,67,7
8,151348.71666666667,188684.2058600001,87444.0,23729.850000000002,451206.7725266666,-92565.9672,2480,28,12,2,0,45,5
9,155588.3166666667,185191.42380000008,88440.0,27722.850000000002,456942.59046666673,-131061.82615000002,3234,27,10,7,0,60,7
10,165573.48333333334,186348.56343000018,87174.0,33789.583333333336,472885.6300966666,-101249.16055000002,3692,27,14,12,0,42,13
11,159152.24999999988,190716.92539666677,88392.0,30125.5,468386.67539666686,-115349.96371666665,2005,25,7,0,0,30,7
12,154137.06666666665,187531.11597333345,87990.0,25811.216666666674,455469.3993066667,-80036.43241666666,5537,30,11,20,0,50,5
13,160493.0,187067.31547666676,89088.0,28741.933333333334,465390.2488100002,-137968.23914666663,5392,37,15,9,0,49,19
14,170303.36666666664,185834.00373666684,88086.0,41759.86666666666,485983.23707,-101703.68171666667,3936,28,12,26,0,54,8
15,151943.76666666658,184916.3876633334,87768.0,24254.100000000002,448882.25432999985,-64349.04953333331,2570,29,9,1,0,25,8
16,425233.26666666655,171552.13354000007,77748.0,32909.066666666666,707442.466873333,-289109.9289366667,8637,33,16,35,21,67,12
17,153443.76666666655,184046.7623900001,88056.0,25026.433333333334,450572.9623899999,-49355.810150000005,3985,31,8,0,0,23,7
18,165259.86666666652,184967.31118000008,89214.0,34583.73333333333,474024.91117999994,-211563.25208333333,2262,22,16,8,0,73,13
19,156724.2833333333,185690.93607000008,88092.0,27033.600000000002,457540.8194033333,-82600.76348333331,2622,28,10,1,0,32,9
20,151286.7166666666,184535.21636333346,88056.0,23044.933333333334,446922.86636333336,-79668.03203333332,2660,29,11,0,0,34,8
21,155056.79999999996,188931.5122433334,88302.0,27468.633333333335,459758.94557666656,-51752.55516666665,2710,27,7,4,0,21,8
22,163855.73333333325,185285.68813333346,87648.0,33056.86666666666,469846.2881333334,-82814.61828333332,5089,25,10,22,0,41,12
23,162268.64999999988,185183.19945000016,88056.0,28873.083333333336,464380.9327833333,-38272.510200000004,4691,29,8,0,0,10,5
24,172451.21666666667,184594.73538333346,87738.0,41959.8,486743.75204999995,-132640.73058333332,3748,29,11,6,0,38,10
25,189360.74999999977,185445.89451333345,88164.0,50228.73333333334,513199.3778466666,-93884.93698333333,5284,28,10,8,0,26,11
26,149261.05000000005,184244.33802666675,88158.0,23546.433333333334,445209.8213599998,-36313.59631666667,2384,29,7,1,0,14,3
27,180741.40000000002,188245.07989333343,89616.0,45869.850000000006,504472.3298933332,-80106.01077333333,6357,33,11,2,0,37,10
28,151962.04999999987,191973.2201900001,87846.0,23073.93333333333,454855.2035233334,-122576.63477333335,1660,23,10,9,0,43,17
29,148809.75,188083.2021233334,87948.0,22626.633333333335,447467.5854566665,-36166.50756333334,2143,26,8,0,0,17,5
30,152050.13333333321,185917.1576100001,89616.0,23963.7,451546.99094333325,-75794.89646,6257,29,8,0,0,36,12
31,151846.7166666666,186818.8116666667,88176.0,24617.31666666667,451458.8449999999,-57683.41447999999,2524,31,10,1,0,19,5
32,152480.4666666666,184744.43298333342,88194.0,24824.716666666664,450243.61631666665,-38212.78366666667,3173,32,12,0,0,22,4
33,153046.11666666664,185685.55933666677,88146.0,25827.6,452705.2760033331,-93312.45417333336,3745,31,8,5,0,32,7
34,148675.0833333333,193206.56528333336,88020.0,22805.850000000002,452707.49861666665,-67376.68113333335,1876,25,8,1,0,28,8
35,161125.6833333333,184739.43362333332,88116.0,32149.933333333338,466131.0502899998,-108258.94156666668,5287,29,8,2,0,31,6
36,156005.01666666652,190035.61802000002,87888.0,26277.98333333333,460206.6180200002,-182593.09275333324,4987,28,11,10,0,63,21
37,165434.1166666666,185318.06856666677,88704.0,35179.6,474635.78523333324,-143306.73336666662,4968,29,10,15,0,56,8
38,149237.65000000014,186050.6968,87678.0,21051.483333333334,444017.83013333316,-124678.22093333334,3091,26,12,15,0,76,11
39,154906.48333333322,189424.47355333337,88158.0,27271.350000000002,459760.30688666657,-83211.0587,4336,32,9,5,0,31,6
40,156150.36666666658,186235.7270666667,87810.0,27012.76666666667,457208.8604000001,-107254.48686666667,4415,29,9,4,0,49,10
41,152436.9499999999,185763.07518000007,87738.0,25196.966666666667,451134.9918466667,-52608.56631333334,1483,24,7,2,0,15,5
42,183436.23333333337,185014.29006333338,88932.0,45750.08333333333,503132.60672999977,-107314.30551666665,3826,30,12,10,0,36,17
43,160258.76666666658,187195.7646800001,90306.0,29855.95,467616.48134666664,-120451.08086666669,3718,30,14,11,0,56,12
44,148123.10000000003,184381.91964333336,88110.0,21778.86666666667,442393.88631000003,-39668.50131666668,2513,25,6,1,0,22,5
45,181365.4999999999,188516.22818000003,89676.0,43647.76666666666,503205.4948466666,-111789.45183333334,3640,26,11,6,0,37,11
46,154194.43333333326,184168.2904600001,88080.0,26300.11666666667,452742.8404599999,-70215.97106666668,2794,27,11,2,0,31,3
47,159829.1333333333,184756.95905666676,88650.0,32238.833333333336,465474.9257233331,-145774.43574000002,5468,33,15,26,0,71,13
48,156734.96666666665,189327.77290333336,88674.0,29124.916666666664,463861.6562366667,-170728.72606666666,3032,33,12,13,0,58,14
49,149810.45000000004,186452.7092800001,88380.0,23729.05,448372.2092799999,-93603.94971666667,1792,24,10,1,0,27,13
50,155486.51666666663,185392.98036666674,87990.0,25486.3,454355.79703333316,-92306.50316666663,4450,25,8,1,0,34,12
51,159372.03333333318,184662.93566666672,88182.0,30893.916666666664,463110.88566666655,-127767.81888333331,3538,34,15,8,0,55,11
52,152356.55000000005,184889.3139500001,88530.0,24434.18333333333,450210.0472833331,-75770.36984999997,4385,26,6,1,0,32,9
53,158807.26666666666,188148.49330000006,87864.0,27894.716666666664,462714.47663333325,-61757.204949999985,4028,31,8,1,0,29,7
54,154072.83333333323,184399.52393000008,88620.0,24785.366666666665,451877.72393,-103736.41115000001,4206,36,11,3,0,34,10
55,159103.36666666658,185410.9955300001,88302.0,30809.0,463625.36219666677,-135100.7117333333,1832,24,10,14,0,60,10
56,150916.39999999997,187175.14136000004,90738.0,24190.350000000002,453019.89135999995,-91536.7436,1709,24,8,3,0,43,9
57,150348.53333333338,184888.97826000012,88206.0,23667.05,447110.56159333326,-65980.6199,3652,32,7,1,0,23,7
58,167666.53333333335,184049.0823600001,89760.0,39672.15,481147.7656933331,-104341.31781666665,2213,26,8,10,0,25,11
59,163881.1666666666,185042.1220800001,87762.0,33279.23333333333,469964.52207999973,-110310.41776666665,4394,25,11,4,0,36,12
60,156480.21666666656,187540.17370000007,89754.0,27975.18333333333,461749.5737,-104869.46973333332,4371,25,13,17,0,42,18
61,151845.1333333332,196550.07446666673,88236.0,25113.633333333335,461744.8411333332,-59472.829949999985,2363,28,7,4,0,23,5
62,151046.41666666674,183572.6094666668,88236.0,24010.35,446865.376133333,-73524.7618,3404,29,9,2,0,27,6
63,152419.75,187336.90179000003,87948.0,25008.466666666667,452713.1184566665,-25826.286933333336,1777,25,7,1,0,11,6
64,162861.14999999994,188013.58386666668,89982.0,33174.25,474030.9838666664,-91056.25725000001,3522,30,8,2,0,29,10
65,157081.6166666666,184286.47150000016,88272.0,28264.1,457904.1881666667,-107139.35151666668,3491,32,12,32,0,67,7
66,148251.7166666667,184938.04436000006,88140.0,22702.65,444032.41102666646,-68171.41488333335,3446,24,8,0,0,31,7
67,157794.53333333338,186777.6309266667,89160.0,27763.316666666662,461495.4809266664,-185093.56686666663,7006,34,18,14,0,77,16
68,167164.1833333332,191365.7879266667,88302.0,39247.48333333332,486079.45459333336,-100728.62729,1576,21,5,1,0,22,8
69,152319.71666666673,186955.41662000015,91722.0,23356.300000000007,454353.4332866666,-58667.28204999998,1845,26,9,15,0,35,17
70,149396.48333333337,185669.62625000006,88056.0,22498.000000000004,445620.10958333313,-26564.78845,2727,29,5,0,0,12,2
71,156455.3666666666,185413.72452666683,88554.0,28906.016666666663,459329.10786000005,-146856.29781999998,2217,27,10,4,0,49,9
72,152649.56666666668,184953.03564000013,88386.0,25585.61666666667,451574.21897333337,-91153.65355999998,4594,30,12,2,0,35,7
73,149475.0833333333,199066.37127,88056.0,22848.816666666666,459446.2712699999,-64383.07253333334,2434,31,8,0,0,16,7
74,152651.7999999999,185367.7622933334,87990.0,24697.05,450706.6122933333,-47745.60016666666,2035,24,6,0,0,16,5
75,153764.3499999999,185819.6472200001,88386.0,26099.18333333333,454069.1805533332,-110720.52496666665,1979,25,11,30,0,67,9
76,149320.71666666665,184894.21465000013,88056.0,21052.0,443322.93131666665,-63359.70670000001,3077,26,10,2,0,40,12
77,188997.58333333317,185891.8270333334,90264.0,55687.700000000004,520841.1103666665,-207254.24387666662,4547,35,16,17,0,55,21
78,155007.54999999987,185016.83714333345,87558.0,26618.966666666667,454201.35380999994,-46858.01461666666,3206,29,8,3,0,25,5
79,154907.6333333334,187096.26812333343,88050.0,27649.36666666667,457703.2681233334,-104382.42735666665,3886,32,10,9,0,42,12
