Episode,Total Storage Cost,Total Travel Cost,Total Handling Cost,Total Delay Penalty,Total Cost,Total Reward,Total Late Departure,Number of Late Departure,RL Triggers,Shipment to RL,Undelivered Requests,Wait Actions,Reassign Actions
1,150916.40000000002,203116.30950333335,95316.0,21796.733333333337,471145.44283666665,-116203.33589000003,4474,25,12,4,0,36,12
2,141434.8333333333,194156.83096666663,94176.0,10697.4,440465.06430000014,-94762.06983,7043,30,14,12,0,44,23
3,140923.54999999993,195556.43344999998,96018.0,13634.649999999998,446132.63344999973,-51005.49534999999,4417,28,10,0,0,20,9
4,134604.86666666658,197851.97699000002,94848.0,10731.016666666663,438035.8603233333,-69779.41976666669,3370,30,8,3,0,38,5
5,137214.24999999994,195998.3640833333,95172.0,11944.633333333331,440329.2474166667,-54609.2709,1900,24,8,2,0,26,4
6,137098.08333333323,195656.37766333326,95514.0,11297.083333333332,439565.54432999995,-101190.91211666663,2707,23,9,4,0,40,9
7,142225.2666666667,199526.98683333327,95106.0,14337.283333333333,451195.5368333334,-119158.90350333335,3133,23,10,5,0,47,10
8,141894.09999999998,199295.33755999993,94770.0,15628.199999999997,451587.6375600001,-79681.08175000004,2137,24,12,3,0,37,9
9,140297.58333333328,199421.91374999995,97326.0,13756.883333333331,450802.38041666674,-119366.46646666668,2148,23,9,6,0,45,15
10,147472.21666666662,198490.02078666663,95136.0,18418.383333333335,459516.62078666675,-101129.69675666664,3679,22,11,8,0,36,14
11,141345.64999999997,199164.84336333332,95142.0,15539.633333333331,451192.1266966667,-111807.91949999996,2500,24,10,4,0,31,11
12,140695.45,198976.17097333333,95448.0,17083.966666666664,452203.58764,-82269.92806666669,5063,24,10,19,0,42,10
13,140252.1499999999,197671.61964333328,94296.0,10760.616666666665,442980.38631000003,-120863.75683000001,5763,33,15,2,0,42,21
14,154522.25000000006,197249.77819666665,94854.0,27070.33333333334,473696.36153,-85620.99667333334,3557,25,13,23,0,45,10
15,134604.44999999995,196370.60736333323,95184.0,10022.383333333335,436181.4406966668,-72263.29333333332,2786,27,10,0,0,28,6
16,225190.89999999997,200415.84735666664,98562.0,84421.05,608589.7973566669,-210569.59171,7446,29,14,12,0,43,19
17,140067.9333333333,199739.43180666663,95754.0,13070.78333333333,448632.1484733333,-53063.19173333335,4553,30,8,0,0,20,8
18,137620.1166666667,200674.57701333327,96084.0,12258.783333333333,446637.4770133333,-172256.3556000001,2279,22,11,4,0,51,25
19,136591.13333333327,196890.58158666664,94656.0,10409.25,438546.9649200001,-75436.74020000001,2414,24,10,4,0,33,9
20,134709.43333333332,195053.38714999994,95184.0,8846.483333333334,433793.30381666677,-89662.27955000002,3441,31,13,1,0,39,8
21,141980.81666666665,196797.7145266666,95394.0,15402.349999999999,449574.88119333325,-46220.970049999996,2672,24,6,4,0,18,6
22,139786.7833333333,197940.70029999997,96708.0,13382.149999999998,447817.63363333343,-58766.37255,5494,26,8,17,0,29,13
23,135573.34999999992,203164.77601666667,95184.0,10640.849999999999,444562.9760166668,-22971.301983333335,2653,26,8,0,0,9,3
24,139153.86666666658,199853.53946,97134.0,11775.366666666665,447916.77279333334,-89854.71396666666,5731,27,9,3,0,30,13
25,159408.78333333335,200857.97092999995,96060.0,24542.750000000004,480869.5042633335,-72338.59316666664,4202,23,11,9,0,25,10
26,136259.28333333324,195081.14955000006,95220.0,11712.083333333332,438272.51621666667,-42423.228500000005,2239,24,5,0,0,13,3
27,147368.11666666667,210534.47376,97284.0,17423.03333333333,472609.6237600002,-68408.55338333336,5681,29,10,1,0,32,12
