,Time_Step,Service_ID,Service_week,Demand_ID,Containers_Moved,Demand_Announce_time,Demand_Release_time,Demand_Due_time,Storage_hours,delay_hours,Number of transshipments,storage_cost,delay_penalty,handling_cost,transportation_cost,real_objective,Potential_Services,Potential_Requests,Solution_Number,Objective_Value
0,0,"Barge01, Barge39",0,Request1,7,0,3,76,50.0,7.5,1,50.0,7.5,84.0,225.65515,670.1551499999999,80,0,1,670.155150000006
1,0,"Barge17, Truck29",0,Request1,7,0,3,76,0.0,0.0,1,0.0,0.0,294.0,564.2742000000001,711.2742000000001,476,0,2,774.2742000000144
2,0,"Barge18, Truck29",0,Request1,7,0,3,76,0.0,0.0,1,0.0,0.0,294.0,564.2742000000001,711.2742000000001,477,0,3,816.2742000000144
3,0,Barge31,0,Request1,7,0,3,76,0.0,0.0,0,0.0,0.0,42.0,110.87230000000001,152.87230000000002,120,0,4,838.8722999999882
4,0,"Barge19, Truck29",0,Request1,7,0,3,76,0.0,0.0,1,0.0,0.0,294.0,564.2742000000001,711.2742000000001,478,0,5,942.2742000000144
5,0,"Barge20, Truck29",0,Request1,7,0,3,76,0.0,0.0,1,0.0,0.0,294.0,564.2742000000001,711.2742000000001,479,0,6,984.2742000000144
6,0,"Barge04, Barge48, Truck32",0,Request1,7,0,3,76,0.0,0.0,2,0.0,0.0,336.0,729.1998000000001,876.1998000000001,439,0,7,1030.1998000000021
7,0,"Barge05, Barge48, Truck32",0,Request1,7,0,3,76,0.0,0.0,2,0.0,0.0,336.0,645.1998000000001,792.1998000000001,447,0,8,1030.1998000000021
8,0,"Barge06, Barge48, Truck32",0,Request1,7,0,3,76,0.0,0.0,2,0.0,0.0,336.0,561.1998000000001,708.1998000000001,455,0,9,1030.1998000000021
9,0,"Barge07, Barge48, Truck32",0,Request1,7,0,3,76,0.0,0.0,2,0.0,0.0,336.0,477.19980000000004,624.1998000000001,463,0,10,1030.1998000000021
10,1,"Barge17, Truck30",0,Request2,29,1,0,112,12.0,0.0,1,12.0,0.0,1218.0,3236.6784,4193.6784,556,1,1,4193.678400000004
11,1,"Barge18, Truck30",0,Request2,29,1,0,112,0.0,0.0,1,0.0,0.0,1218.0,3236.6784,3845.6784,557,1,2,4367.678400000004
12,1,"Barge19, Truck30",0,Request2,29,1,0,112,0.0,0.0,1,0.0,0.0,1218.0,3236.6784,3845.6784,558,1,3,4889.678400000004
13,1,"Barge20, Truck30",0,Request2,29,1,0,112,0.0,0.0,1,0.0,0.0,1218.0,3236.6784,3845.6784,559,1,4,5063.678400000004
14,1,"Barge04, Barge48, Truck33",0,Request2,29,1,0,112,0.0,0.0,2,0.0,0.0,1392.0,4055.2846,4664.2846,519,1,5,5099.284600000014
15,1,"Barge06, Barge48, Truck33",0,Request2,29,1,0,112,0.0,0.0,2,0.0,0.0,1392.0,3359.2846,3968.2846,535,1,6,5099.284600000014
