Service Line,Number of Shipments,Late time,Number of late departure
Barge01,279,61,2
Barge02,0,0,0
Barge03,62,292,1
Barge04,77,0,0
Barge05,35,0,0
Barge06,52,136,1
Barge07,17,0,0
Barge08,20,0,0
Barge09,0,0,0
Barge10,0,0,0
Barge11,0,0,0
Barge12,0,0,0
Barge13,0,0,0
Barge14,0,0,0
Barge15,0,0,0
Barge16,0,0,0
Barge17,409,274,3
Barge18,58,0,0
Barge19,85,0,0
Barge20,44,0,0
Barge21,131,243,1
Barge22,61,0,0
Barge23,104,15,1
Barge24,9,197,1
Barge25,0,0,0
Barge26,302,42,2
Barge27,28,0,0
Barge28,23,362,1
Barge29,0,0,0
Barge30,0,0,0
Barge31,243,277,2
Barge32,11,0,0
Barge33,125,402,1
Barge34,0,0,0
Barge35,117,0,0
Barge36,131,11,1
Barge37,27,0,0
Barge38,9,0,0
Barge39,393,126,3
Barge40,38,0,0
Barge41,25,0,0
Barge42,0,0,0
Barge43,0,0,0
Barge44,0,0,0
Barge45,319,254,3
Barge46,11,0,0
Barge47,38,0,0
Barge48,339,520,2
Barge49,0,0,0
Train01,0,0,0
Train02,0,0,0
Train03,0,0,0
Train04,0,0,0
Train05,0,0,0
Train06,0,0,0
Train07,0,0,0
Train08,0,0,0
Train09,29,0,0
Train10,0,0,0
Train11,11,0,0
Train12,0,0,0
Train13,0,0,0
Train14,39,0,0
Train15,210,254,1
Train16,0,0,0
Train17,0,0,0
Train18,0,0,0
Train19,0,0,0
Train20,0,0,0
Train21,0,0,0
Train22,0,0,0
Train23,111,0,0
Train24,57,0,0
Train25,48,0,0
Train26,0,0,0
Train27,25,0,0
Train28,0,0,0
Train29,20,0,0
Train30,145,0,0
Train31,208,0,0
Train32,177,138,1
Train33,190,0,0
Truck1,0,0,0
Truck2,0,0,0
Truck3,0,0,0
Truck4,0,0,0
Truck5,0,0,0
Truck6,0,0,0
Truck7,0,0,0
Truck8,0,0,0
Truck9,0,0,0
Truck10,0,0,0
Truck11,0,0,0
Truck12,0,0,0
Truck13,0,0,0
Truck14,0,0,0
Truck15,0,0,0
Truck16,0,0,0
Truck17,0,0,0
Truck18,0,0,0
Truck19,0,0,0
Truck20,0,0,0
Truck21,0,0,0
Truck22,0,0,0
Truck23,0,0,0
Truck24,0,0,0
Truck25,0,0,0
Truck26,0,0,0
Truck27,0,0,0
Truck28,0,0,0
Truck29,19,0,0
Truck30,21,0,0
Truck31,0,0,0
Truck32,7,0,0
Truck33,28,0,0
Truck34,0,0,0
