Service Line,Number of Shipments,Late time,Number of late departure
Barge01,234,16,2
Barge02,0,0,0
Barge03,62,0,0
Barge04,77,0,0
Barge05,35,0,0
Barge06,52,0,0
Barge07,17,0,0
Barge08,20,1695,1
Barge09,0,0,0
Barge10,0,0,0
Barge11,0,0,0
Barge12,0,0,0
Barge13,0,0,0
Barge14,0,0,0
Barge15,0,0,0
Barge16,0,0,0
Barge17,407,140,3
Barge18,58,0,0
Barge19,85,214,1
Barge20,44,0,0
Barge21,132,45,1
Barge22,61,178,1
Barge23,104,15,1
Barge24,9,0,0
Barge25,0,0,0
Barge26,303,42,2
Barge27,0,0,0
Barge28,23,0,0
Barge29,0,0,0
Barge30,0,0,0
Barge31,289,71,1
Barge32,11,0,0
Barge33,125,0,0
Barge34,0,0,0
Barge35,119,88,1
Barge36,121,236,1
Barge37,27,0,0
Barge38,9,0,0
Barge39,348,81,3
Barge40,38,362,1
Barge41,25,221,1
Barge42,0,0,0
Barge43,0,0,0
Barge44,0,0,0
Barge45,316,59,2
Barge46,11,0,0
Barge47,38,0,0
Barge48,339,414,2
Barge49,0,0,0
Train01,0,0,0
Train02,0,0,0
Train03,0,0,0
Train04,0,0,0
Train05,0,0,0
Train06,0,0,0
Train07,0,0,0
Train08,0,0,0
Train09,29,0,0
Train10,0,0,0
Train11,39,0,0
Train12,0,0,0
Train13,0,0,0
Train14,39,0,0
Train15,210,261,1
Train16,0,0,0
Train17,0,0,0
Train18,0,0,0
Train19,0,0,0
Train20,0,0,0
Train21,0,0,0
Train22,10,0,0
Train23,111,75,1
Train24,39,186,1
Train25,52,0,0
Train26,18,0,0
Train27,25,0,0
Train28,0,0,0
Train29,20,0,0
Train30,117,0,0
Train31,208,0,0
Train32,177,0,0
Train33,188,0,0
Truck1,0,0,0
Truck2,0,0,0
Truck3,0,0,0
Truck4,0,0,0
Truck5,0,0,0
Truck6,0,0,0
Truck7,0,0,0
Truck8,0,0,0
Truck9,0,0,0
Truck10,0,0,0
Truck11,0,0,0
Truck12,0,0,0
Truck13,0,0,0
Truck14,0,0,0
Truck15,0,0,0
Truck16,0,0,0
Truck17,0,0,0
Truck18,0,0,0
Truck19,0,0,0
Truck20,0,0,0
Truck21,0,0,0
Truck22,0,0,0
Truck23,0,0,0
Truck24,0,0,0
Truck25,0,0,0
Truck26,0,0,0
Truck27,0,0,0
Truck28,0,0,0
Truck29,19,0,0
Truck30,21,0,0
Truck31,0,0,0
Truck32,7,0,0
Truck33,28,0,0
Truck34,0,0,0
