Service Line,Number of Shipments,Late time,Number of late departure
Barge01,331,37,3
Barge02,0,0,0
Barge03,53,0,0
Barge04,54,0,0
Barge05,21,0,0
Barge06,14,0,0
Barge07,17,0,0
Barge08,20,0,0
Barge09,0,0,0
Barge10,0,215,1
Barge11,0,0,0
Barge12,0,0,0
Barge13,0,0,0
Barge14,0,0,0
Barge15,0,0,0
Barge16,0,0,0
Barge17,250,1937,2
Barge18,56,278,1
Barge19,112,302,2
Barge20,44,0,0
Barge21,119,1452,1
Barge22,34,0,0
Barge23,195,35,1
Barge24,9,0,0
Barge25,0,0,0
Barge26,401,488,3
Barge27,28,0,0
Barge28,23,0,0
Barge29,0,0,0
Barge30,0,0,0
Barge31,288,493,4
Barge32,24,0,0
Barge33,184,0,0
Barge34,0,0,0
Barge35,170,0,0
Barge36,105,10,1
Barge37,27,0,0
Barge38,9,0,0
Barge39,439,145,3
Barge40,0,0,0
Barge41,94,0,0
Barge42,0,0,0
Barge43,0,0,0
Barge44,0,0,0
Barge45,340,368,3
Barge46,11,0,0
Barge47,55,0,0
Barge48,324,81,2
Barge49,28,0,0
Train01,0,0,0
Train02,0,181,1
Train03,0,0,0
Train04,0,223,1
Train05,0,0,0
Train06,0,192,1
Train07,0,0,0
Train08,0,0,0
Train09,0,0,0
Train10,0,0,0
Train11,11,0,0
Train12,0,203,1
Train13,0,0,0
Train14,28,155,1
Train15,210,0,0
Train16,11,0,0
Train17,0,0,0
Train18,0,0,0
Train19,0,0,0
Train20,0,0,0
Train21,0,0,0
Train22,0,0,0
Train23,20,0,0
Train24,43,0,0
Train25,0,0,0
Train26,14,0,0
Train27,0,0,0
Train28,42,0,0
Train29,28,0,0
Train30,80,152,1
Train31,215,0,0
Train32,189,2037,1
Train33,247,0,0
Truck1,0,0,0
Truck2,0,0,0
Truck3,0,0,0
Truck4,0,0,0
Truck5,0,0,0
Truck6,0,0,0
Truck7,0,0,0
Truck8,0,0,0
Truck9,0,0,0
Truck10,0,0,0
Truck11,0,0,0
Truck12,0,0,0
Truck13,0,0,0
Truck14,0,0,0
Truck15,0,0,0
Truck16,0,0,0
Truck17,0,0,0
Truck18,0,0,0
Truck19,0,0,0
Truck20,0,0,0
Truck21,0,0,0
Truck22,0,0,0
Truck23,0,0,0
Truck24,0,0,0
Truck25,0,0,0
Truck26,0,0,0
Truck27,0,0,0
Truck28,0,0,0
Truck29,19,182,1
Truck30,21,0,0
Truck31,0,0,0
Truck32,9,0,0
Truck33,7,0,0
Truck34,17,0,0
