Shipment,Storage Cost,Handling Cost,Travel Cost,Delay Penalty,Total Cost,Itinerary,Assigned to RL,Missed Service,Wait Actions,Reassign Actions
Request1,85.52,294.0,410.27,0.0,789.79,"['Barge17', 'Truck29.1']",No,0,0,0
Request10,617.17,588.0,427.05,0.0,1632.21,"['Barge26', 'Train32']",No,0,0,0
Request100,195.0,78.0,163.51,0.0,436.51,['Barge35'],Yes,0,1,0
Request101,200.0,120.0,337.39,0.0,657.39,['Barge31'],No,0,0,0
Request102,2356.8,1008.0,732.08,0.0,4096.88,"['Barge26', 'Train32']",Yes,0,1,0
Request103,366.27,96.0,130.44,0.0,592.7,"['Barge33', 'Barge48']",Yes,0,1,0
Request104,136.0,48.0,100.62,0.0,284.62,['Barge35'],Yes,0,1,0
Request105,775.83,1050.0,1465.26,0.0,3291.1,"['Barge17', 'Truck29.21']",No,0,0,0
Request106,961.8,504.0,1523.41,0.0,2989.21,"['Barge36', 'Train31']",No,0,0,0
Request107,1311.0,138.0,235.72,0.0,1684.72,['Barge28'],No,0,0,0
Request108,330.0,540.0,2339.44,0.0,3209.44,['Train15'],No,0,0,0
Request109,507.5,168.0,221.74,0.0,897.24,"['Barge07', 'Barge48']",Yes,0,0,1
Request11,1022.75,180.0,237.58,0.0,1440.33,"['Barge04', 'Barge48']",Yes,0,1,0
Request110,1858.2,378.0,342.95,1262.4,3841.55,"['Barge22', 'Train30']",Yes,0,2,1
Request111,1180.0,1260.0,1143.18,0.0,3583.18,"['Barge22', 'Train30']",No,0,0,0
Request112,263.5,420.0,385.72,0.0,1069.22,"['Barge36', 'Train30']",No,0,0,0
Request113,217.5,480.0,623.37,0.0,1320.87,"['Barge07', 'Barge48', 'Truck33.37']",Yes,0,1,0
Request114,310.5,378.0,362.46,0.0,1050.96,"['Barge45', 'Truck32.23']",No,0,0,0
Request115,144.0,324.0,1403.66,0.0,1871.66,['Train15'],No,0,0,0
Request116,390.13,192.0,275.78,0.0,857.92,"['Barge01', 'Barge39']",No,0,0,0
Request117,198.0,132.0,276.71,0.0,606.71,['Barge35'],Yes,0,1,0
Request118,705.0,540.0,2339.44,0.0,3584.44,['Train15'],No,0,0,0
Request119,1664.0,936.0,4055.02,817.27,7472.29,['Train15'],No,0,0,0
Request12,136.95,378.0,806.49,0.0,1321.44,"['Barge17', 'Truck30.2']",No,0,0,0
Request120,101.42,240.0,314.02,0.0,655.43,"['Barge33', 'Barge48', 'Truck33.38']",Yes,0,1,0
Request121,647.5,1008.0,727.82,0.0,2383.32,"['Train24', 'Train29']",No,0,0,0
Request122,551.63,156.0,205.91,0.0,913.54,"['Barge06', 'Barge48']",Yes,0,0,1
Request123,164.0,336.0,322.19,0.0,822.19,"['Barge45', 'Truck32.25']",No,0,0,0
Request124,174.0,216.0,935.77,0.0,1325.78,['Train15'],No,0,0,0
Request125,200.55,432.0,565.23,0.0,1197.78,"['Barge33', 'Barge48', 'Truck33.39']",Yes,0,1,0
Request126,1729.6,966.0,701.58,0.0,3397.18,"['Barge26', 'Train32']",Yes,0,1,0
Request127,1730.87,336.0,443.49,0.0,2510.36,"['Barge05', 'Barge48']",Yes,0,0,1
Request128,1107.83,714.0,2013.08,26.92,3861.83,"['Barge45', 'Train33']",No,0,0,0
Request129,262.35,378.0,1142.55,0.0,1782.9,"['Barge36', 'Train31']",No,0,0,0
Request13,168.6,252.0,169.05,0.0,589.65,"['Barge36', 'Train29']",No,0,0,0
Request130,966.0,504.0,2183.48,0.0,3653.48,['Train15'],No,0,0,0
Request131,1023.1,1092.0,1002.86,0.0,3117.96,"['Barge36', 'Train30']",No,0,0,0
Request132,2351.07,462.0,1391.33,1643.03,5847.43,"['Barge21', 'Train31']",Yes,0,1,1
Request133,1517.15,798.0,2412.06,0.0,4727.21,"['Barge35', 'Train31']",No,0,0,0
Request134,1226.67,1800.0,3769.09,0.0,6795.76,"['Train24', 'Train31']",No,0,0,0
Request135,488.0,288.0,1247.7,0.0,2023.7,['Train15'],No,0,0,0
Request136,108.0,96.0,137.89,0.0,341.89,"['Barge01', 'Barge39']",Yes,0,1,0
Request137,367.65,1134.0,1582.49,0.0,3084.14,"['Barge17', 'Truck29.40']",No,0,0,0
Request138,2550.6,1248.0,3288.6,1595.53,8682.73,"['Barge40', 'Barge47', 'Train31']",No,0,0,0
Request139,396.0,54.0,96.43,0.0,546.43,['Barge38'],No,0,0,0
Request14,810.0,162.0,415.07,0.0,1387.07,['Barge37'],No,0,0,0
Request140,385.0,120.0,172.36,0.0,677.36,"['Barge01', 'Barge39']",Yes,0,1,0
Request141,350.48,714.0,1523.36,0.0,2587.85,"['Barge17', 'Truck30.41']",No,0,0,0
Request142,414.25,630.0,879.16,0.0,1923.41,"['Barge17', 'Truck29.42']",No,0,0,0
Request143,2789.37,1092.0,3078.83,0.0,6960.19,"['Barge45', 'Train33']",No,0,0,0
Request144,516.0,288.0,413.67,0.0,1217.67,"['Barge01', 'Barge39']",Yes,0,1,0
Request145,83.17,30.0,79.19,0.0,192.36,['Barge31'],No,0,0,0
Request146,773.1,162.0,427.65,0.0,1362.75,['Barge31'],No,0,0,0
Request147,1650.58,1044.0,1809.16,0.0,4503.75,['Train09'],Yes,0,1,0
Request148,134.63,588.0,820.55,0.0,1543.18,"['Barge17', 'Truck29.43']",No,0,0,0
Request149,266.5,546.0,2245.61,0.0,3058.11,"['Barge19', 'Truck30.44']",No,0,0,0
Request15,160.75,90.0,181.68,0.0,432.43,['Barge17'],No,0,0,0
Request150,81.0,252.0,1036.44,0.0,1369.44,"['Barge19', 'Truck30.45']",No,0,0,0
