Shipment,Storage Cost,Handling Cost,Travel Cost,Delay Penalty,Total Cost,Itinerary,Assigned to RL,Missed Service,Wait Actions,Reassign Actions
Request001,429.92,84,120.66,76.07,710.64,"['Barge01', 'Barge39']",No,0,0,0
Request002,420.5,1218,2598.68,0,4237.18,"['Barge17', 'Truck30.2']",No,0,0,0
Request003,66,66,51.24,0,183.24,['Barge04'],No,0,0,0
Request004,1284.43,924,671.08,0,2879.51,"['Barge26', 'Train32']",No,0,0,0
Request005,144,144,380.13,0,668.13,['Barge31'],No,0,0,0
Request006,224,168,417.4,0,809.4,['Barge27'],No,0,0,0
Request007,1510.13,168,456.53,0,2134.67,['Barge39'],No,0,0,0
Request008,326.8,576,753.64,0,1656.44,"['Barge33', 'Barge48', 'Truck33.14']",No,0,0,0
Request009,1483.2,162,440.23,0,2085.43,['Barge39'],No,0,0,0
Request010,607.37,588,427.05,0,1622.41,"['Barge26', 'Train32']",No,0,0,0
Request011,938.25,180,237.58,0,1355.83,"['Barge04', 'Barge48']",No,0,0,0
Request012,130.5,378,806.49,0,1314.99,"['Barge17', 'Truck30.1']",No,0,0,0
Request013,168.1,252,169.05,0,589.15,"['Barge36', 'Train29']",No,0,0,0
Request014,810,162,415.07,0,1387.07,['Barge37'],No,0,0,0
Request015,150,90,181.68,0,421.68,['Barge17'],No,0,0,0
Request016,2754.4,132,317.71,1504.8,4708.91,['Barge45'],No,0,0,0
Request017,206.8,792,857.79,0,1856.59,"['Train11', 'Train32']",No,0,0,0
Request018,318.85,126,254.35,0,699.2,['Barge23'],No,0,0,0
Request019,458.38,294,828.91,0,1581.3,"['Barge45', 'Train33']",No,0,0,0
Request020,290.08,210,634.75,119.25,1254.09,"['Barge36', 'Train31']",No,0,0,0
Request021,650.75,630,457.55,0,1738.3,"['Barge26', 'Train32']",No,0,0,0
Request022,2370.67,1176,3554.61,0,7101.28,"['Barge35', 'Train31']",No,0,0,0
Request023,672.47,1176,1127.67,0,2976.13,"['Barge45', 'Truck32.3']",No,0,0,0
Request024,37.5,210,448.05,0,695.55,"['Barge17', 'Truck30.4']",No,0,0,0
Request025,70,60,46.58,0,176.58,['Barge06'],No,0,0,0
Request026,975.3,1296,1122.93,0,3394.23,"['Train24', 'Train30']",No,0,0,0
Request027,221,102,205.91,0,528.91,['Barge21'],No,0,0,0
Request028,81.03,156,387.59,0,624.62,['Barge26'],No,0,0,0
Request029,168,756,3275.21,0,4199.21,['Train15'],No,0,0,0
Request030,242.75,90,181.68,0,514.43,['Barge23'],No,0,0,0
Request031,413.83,420,305.03,0,1138.87,"['Barge26', 'Train32']",No,0,0,0
Request032,675,162,427.65,0,1264.65,['Barge31'],No,0,0,0
Request033,2231.02,546,1164.92,1767.57,5709.51,"['Barge17', 'Truck30.5']",No,0,0,0
Request034,846.3,756,724.93,0,2327.23,"['Barge45', 'Truck32.6']",No,0,0,0
Request035,178.5,714,1523.36,0,2415.86,"['Barge19', 'Truck30.7']",No,0,0,0
Request036,1579.67,336,482.62,0,2398.29,"['Barge01', 'Barge39']",No,0,0,0
Request037,1722.5,360,517.09,806,3405.59,"['Barge01', 'Barge39']",No,0,0,0
Request038,420.57,132,327.96,0,880.53,['Barge26'],No,0,0,0
Request039,49.5,378,806.49,0,1233.99,"['Barge17', 'Truck30.8']",No,0,0,0
Request040,88,132,266.47,0,486.47,['Barge22'],No,0,0,0
Request041,112,1008,4366.95,0,5486.95,['Train15'],No,0,0,0
Request042,1192.25,630,1776.25,4.5,3603,"['Barge45', 'Train33']",No,0,0,0
Request043,816,576,2495.4,0,3887.4,['Train15'],No,0,0,0
Request044,24,36,95.03,0,155.03,['Barge31'],No,0,0,0
Request045,36,54,109.01,0,199.01,['Barge24'],No,0,0,0
Request046,1110.42,300,430.91,0,1841.33,"['Barge01', 'Barge39']",No,0,0,0
Request047,328.18,1218,1105.07,0,2651.25,"['Barge23', 'Train30']",No,0,0,0
Request048,425.28,714,684.66,0,1823.94,"['Barge45', 'Truck32.9']",No,0,0,0
Request049,81.58,210,190.53,0,482.11,"['Barge23', 'Train30']",No,0,0,0
Request050,745.27,672,879.25,0,2296.51,"['Barge33', 'Barge48', 'Truck33.10']",No,0,0,0
Request051,94.5,882,1240.61,0,2217.11,"['Barge35', 'Truck29.11']",No,0,0,0
Request052,506,792,3431.18,0,4729.17,['Train15'],No,0,0,0
Request053,1460.12,966,2723.58,0,5149.69,"['Barge45', 'Train33']",No,0,0,0
Request054,315,126,254.35,0,695.35,['Barge21'],No,0,0,0
Request055,1962.28,966,876.43,983.63,4788.35,"['Barge23', 'Train30']",No,0,0,0
Request056,221.92,210,594.41,0,1026.33,"['Barge26', 'Train33']",No,0,0,0
Request057,935.28,714,2158.16,0,3807.44,"['Barge36', 'Train31']",No,0,0,0
Request058,1650.3,108,146.74,1094.7,2999.74,"['Barge33', 'Barge48']",No,0,0,0
Request059,205.65,1134,1657.95,0,2997.6,"['Barge26', 'Truck33.12']",No,0,0,0
Request060,1087.43,912,1193.26,261.25,3453.95,"['Barge33', 'Barge48', 'Truck33.13']",No,0,0,0
Request061,120,144,290.69,0,554.69,['Barge20'],No,0,0,0
Request062,1217.8,504,1421,723.6,3866.4,"['Barge45', 'Train33']",No,0,0,0
Request063,113.28,42,84.78,0,240.07,['Barge23'],No,0,0,0
Request064,44,132,348.46,0,524.46,['Barge31'],No,0,0,0
Request065,1175.75,630,1783.23,574.5,4163.48,"['Barge26', 'Train33']",No,0,0,0
Request066,46,828,1674,0,2548,['Train14'],No,0,0,0
Request067,301,180,475.17,0,956.17,['Barge31'],No,0,0,0
Request068,1240.85,138,375.01,0,1753.86,['Barge39'],No,0,0,0
Request069,2420,1008,3046.81,1523.6,7998.41,"['Barge36', 'Train31']",No,0,0,0
Request070,300.45,108,155.13,0,563.58,"['Barge01', 'Barge39']",No,0,0,0
Request071,72,672,1433.75,0,2177.75,"['Barge18', 'Truck30.20']",No,0,0,0
Request072,1289.17,300,302.8,335.83,2227.8,"['Barge41', 'Barge47']",No,0,0,0
Request073,140,84,169.57,0,393.57,['Barge21'],No,0,0,0
Request074,2379.58,1050,3173.76,787.08,7390.43,"['Barge35', 'Train31']",No,0,0,0
Request075,928.35,324,465.38,0,1717.73,"['Barge01', 'Barge39']",No,0,0,0
Request076,420,420,1188.82,0,2028.82,"['Barge26', 'Train33']",No,0,0,0
Request077,2095,1260,3808.51,0,7163.51,"['Barge36', 'Train31']",No,0,0,0
Request078,926.03,1092,2329.85,0,4347.88,"['Barge17', 'Truck30.21']",No,0,0,0
Request079,60,120,93.17,0,273.17,['Barge08'],No,0,0,0
Request080,1131.43,168,221.74,0,1521.18,"['Barge03', 'Barge48']",No,0,0,0
Request081,1108.5,180,489.14,0,1777.64,['Barge39'],No,0,0,0
Request082,468.5,1260,2688.29,0,4416.79,"['Barge17', 'Truck30.22']",No,0,0,0
Request083,3192,1176,854.1,555.33,5777.43,"['Barge26', 'Train32']",No,0,0,0
Request084,384,336,244.03,150.67,1114.69,"['Barge26', 'Train32']",No,0,0,0
Request085,293.83,120,172.36,0,586.2,"['Barge01', 'Barge39']",No,0,0,0
Request086,1050.6,714,2013.08,0,3777.68,"['Barge45', 'Train33']",No,0,0,0
Request087,352.6,144,206.84,0,703.44,"['Barge01', 'Barge39']",No,0,0,0
Request088,1092,882,2496.53,0,4470.53,"['Barge26', 'Train33']",No,0,0,0
Request089,165,420,900.75,0,1485.75,"['Barge35', 'Truck30.23']",No,0,0,0
Request090,587.67,240,344.73,0,1172.4,"['Barge01', 'Barge39']",No,0,0,0
Request091,314.3,72,103.42,0,489.72,"['Barge01', 'Barge39']",No,0,0,0
Request092,387,378,1069.94,48.45,1883.39,"['Barge26', 'Train33']",No,0,0,0
Request093,84.15,162,327.03,0,573.18,['Barge17'],No,0,0,0
Request094,1397.72,624,1563.64,0,3585.35,"['Barge32', 'Barge48', 'Train33']",No,0,0,0
Request095,444.45,108,155.13,0,707.58,"['Barge01', 'Barge39']",No,0,0,0
Request096,556.27,1344,1758.49,0,3658.76,"['Barge33', 'Barge48', 'Truck33.24']",No,0,0,0
Request097,215.6,1176,1706.32,0,3097.92,"['Barge45', 'Truck33.25']",No,0,0,0
Request098,48,48,37.27,0,133.27,['Barge05'],No,0,0,0
Request099,176,66,56.37,0,298.37,['Barge32'],No,0,0,0
Request100,195,78,163.51,0,436.51,['Barge35'],No,0,0,0
Request101,200.67,120,316.78,0,637.44,['Barge31'],No,0,0,0
