Shipment,Storage Cost,Handling Cost,Travel Cost,Delay Penalty,Total Cost,Itinerary,Assigned to RL,Missed Service,Wait Actions,Reassign Actions
Request1,462.7,84.0,120.66,108.85,776.21,"['Barge01', 'Barge39']",Yes,0,1,0
Request10,5266.57,588.0,1059.52,4311.77,11225.86,"['Barge21', 'Train30']",Yes,1,0,1
Request100,197.82,78.0,163.51,0.0,439.33,['Barge35'],No,0,0,0
Request101,200.67,120.0,316.78,0.0,637.44,['Barge31'],No,0,0,0
Request102,2328.0,1008.0,732.08,0.0,4068.08,"['Barge26', 'Train32']",No,0,0,0
Request103,360.8,96.0,130.44,0.0,587.24,"['Barge33', 'Barge48']",Yes,0,1,0
Request104,137.73,48.0,100.62,0.0,286.36,['Barge35'],No,0,0,0
Request105,2400.83,150.0,395.97,1014.17,3960.97,['Barge31'],No,0,0,0
Request106,2976.0,576.0,1443.36,2043.8,7039.16,"['Barge33', 'Barge48', 'Train33']",Yes,1,1,0
Request107,1311.0,138.0,235.72,0.0,1684.72,['Barge28'],No,0,0,0
Request108,373.0,540.0,2339.44,0.0,3252.44,['Train15'],No,0,0,0
Request109,511.7,168.0,221.74,0.0,901.44,"['Barge06', 'Barge48']",No,0,0,0
Request11,946.75,180.0,237.58,0.0,1364.33,"['Barge04', 'Barge48']",No,0,0,0
Request110,378.0,378.0,274.53,0.0,1030.53,"['Barge26', 'Train32']",No,0,0,0
Request111,1173.0,1260.0,1143.18,0.0,3576.18,"['Barge23', 'Train30']",No,0,0,0
Request112,272.33,420.0,385.72,0.0,1078.05,"['Barge36', 'Train30']",No,0,0,0
Request113,560.0,420.0,305.03,118.33,1403.37,"['Barge26', 'Train32']",No,0,0,0
Request114,312.3,378.0,362.46,0.0,1052.76,"['Barge45', 'Truck32.26']",No,0,0,0
Request115,169.8,324.0,1403.66,0.0,1897.46,['Train15'],No,0,0,0
Request116,640.53,96.0,253.42,0.0,989.96,['Barge31'],No,0,0,0
Request117,202.77,132.0,276.71,0.0,611.48,['Barge35'],No,0,0,0
Request118,748.0,540.0,2339.44,0.0,3627.44,['Train15'],No,0,0,0
Request119,1738.53,936.0,4055.02,891.8,7621.36,['Train15'],No,0,0,0
Request12,184.5,378.0,806.49,0.0,1368.99,"['Barge18', 'Truck30.15']",Yes,0,0,1
Request120,98.0,240.0,314.02,0.0,652.02,"['Barge33', 'Barge48', 'Truck33.37']",Yes,0,1,0
Request121,731.5,588.0,833.22,0.0,2152.72,"['Train26', 'Barge49']",No,0,0,0
Request122,548.6,156.0,205.91,0.0,910.51,"['Barge05', 'Barge48']",No,0,0,0
Request123,165.6,336.0,322.19,0.0,823.79,"['Barge45', 'Truck32.28']",No,0,0,0
Request124,191.2,216.0,935.77,0.0,1342.98,['Train15'],No,0,0,0
Request125,194.4,432.0,565.23,0.0,1191.63,"['Barge33', 'Barge48', 'Truck33.38']",Yes,0,1,0
Request126,1612.3,966.0,876.43,0.0,3454.73,"['Barge23', 'Train30']",No,0,0,0
Request127,1744.87,336.0,443.49,0.0,2524.36,"['Barge04', 'Barge48']",No,0,0,0
Request128,232.9,714.0,5515.33,0.0,6462.23,"['Barge45', 'Truck34.30']",No,0,0,0
Request129,245.1,378.0,1142.55,0.0,1765.65,"['Barge36', 'Train31']",No,0,0,0
Request13,168.1,252.0,169.05,0.0,589.15,"['Barge36', 'Train29']",No,0,0,0
Request130,1006.13,504.0,2183.48,0.0,3693.61,['Train15'],No,0,0,0
Request131,1046.07,1092.0,1002.86,0.0,3140.93,"['Barge36', 'Train30']",No,0,0,0
Request132,495.0,396.0,1715.59,0.0,2606.59,['Train16'],No,0,0,0
Request133,1523.17,798.0,2412.06,0.0,4733.23,"['Barge35', 'Train31']",No,0,0,0
Request134,412.5,1800.0,9179.41,0.0,11391.91,"['Train26', 'Truck34.56']",Yes,0,0,1
Request135,488.0,288.0,1447.76,0.0,2223.76,['Train15'],No,0,0,0
Request136,146.93,96.0,137.89,0.0,380.82,"['Barge01', 'Barge39']",Yes,0,1,0
Request137,1791.9,324.0,465.38,534.15,3115.43,"['Barge01', 'Barge39']",Yes,0,1,0
Request138,2648.1,1092.0,3078.83,1776.23,8595.16,"['Barge45', 'Train33']",No,0,0,0
Request139,396.0,54.0,96.43,0.0,546.43,['Barge38'],No,0,0,0
Request14,810.0,162.0,415.07,0.0,1387.07,['Barge37'],No,0,0,0
Request140,433.67,120.0,172.36,0.0,726.03,"['Barge01', 'Barge39']",Yes,0,1,0
Request141,451.92,714.0,1523.36,0.0,2689.28,"['Barge18', 'Truck30.54']",Yes,0,0,1
Request142,1205.5,180.0,258.55,0.0,1644.05,"['Barge01', 'Barge39']",Yes,0,1,0
Request143,2778.1,1092.0,3078.83,0.0,6948.93,"['Barge45', 'Train33']",No,0,0,0
Request144,632.8,288.0,413.67,0.0,1334.47,"['Barge01', 'Barge39']",Yes,0,1,0
Request145,85.17,30.0,79.19,0.0,194.36,['Barge31'],No,0,0,0
Request146,783.9,162.0,427.65,0.0,1373.55,['Barge31'],No,0,0,0
Request147,2387.67,348.0,459.33,783.97,3978.96,"['Barge03', 'Barge48']",No,0,0,0
Request148,873.13,168.0,241.31,0.0,1282.44,"['Barge01', 'Barge39']",Yes,0,1,0
Request149,266.5,546.0,1164.92,0.0,1977.42,"['Barge19', 'Truck30.42']",No,0,0,0
Request15,240.0,90.0,181.68,0.0,511.68,['Barge18'],Yes,0,0,1
Request150,81.0,252.0,537.66,0.0,870.66,"['Barge19', 'Truck30.43']",No,0,0,0
Request151,716.65,66.0,158.85,0.0,941.5,['Barge45'],No,0,0,0
Request152,786.33,168.0,339.14,0.0,1293.47,['Barge18'],Yes,0,0,1
Request153,236.13,42.0,104.35,0.0,382.48,['Barge26'],Yes,0,0,1
Request154,174.0,504.0,1075.32,0.0,1753.32,"['Barge19', 'Truck30.44']",No,0,0,0
Request155,261.0,174.0,351.25,0.0,786.25,['Barge21'],No,0,0,0
Request156,542.73,588.0,1664.35,18.43,2813.52,"['Barge26', 'Train33']",No,0,0,0
Request157,231.83,60.0,86.18,0.0,378.02,"['Barge01', 'Barge39']",Yes,0,1,0
Request158,576.77,156.0,224.07,0.0,956.84,"['Barge01', 'Barge39']",Yes,0,1,0
Request159,641.6,144.0,357.77,0.0,1143.37,['Barge26'],No,0,0,0
Request16,2754.4,132.0,317.71,1504.8,4708.91,['Barge45'],No,0,0,0
Request160,227.08,150.0,302.8,0.0,679.89,['Barge18'],Yes,0,0,1
Request161,1380.67,114.0,309.79,622.88,2427.34,['Barge39'],Yes,0,1,0
Request162,243.0,162.0,327.03,0.0,732.03,['Barge21'],No,0,0,0
Request163,178.75,150.0,361.03,0.0,689.78,['Barge45'],No,0,0,0
Request164,251.83,60.0,86.18,28.92,426.93,"['Barge01', 'Barge39']",Yes,0,1,0
Request165,221.55,294.0,281.92,0.0,797.47,"['Barge45', 'Truck32.45']",No,0,0,0
Request166,1344.0,84.0,215.22,0.0,1643.22,['Barge37'],Yes,0,0,1
Request167,430.5,882.0,1881.8,0.0,3194.3,"['Barge19', 'Truck30.46']",No,0,0,0
Request168,1172.5,180.0,363.36,0.0,1715.86,['Barge18'],Yes,0,0,1
Request169,2625.47,1176.0,854.1,1058.4,5713.96,"['Barge26', 'Train32']",No,0,0,0
Request17,206.8,792.0,857.79,0.0,1856.59,"['Train11', 'Train32']",Yes,0,1,0
Request170,1022.55,102.0,245.5,0.0,1370.05,['Barge45'],No,0,0,0
Request171,839.17,1050.0,3162.12,0.0,5051.28,"['Barge24', 'Train31']",Yes,0,1,1
Request172,2586.4,1008.0,732.08,907.2,5233.68,"['Barge26', 'Train32']",No,0,0,0
Request173,1342.73,132.0,348.46,0.0,1823.19,['Barge31'],No,0,0,0
