Episode,Total Cost,Total Reward
0.0,530240.7101000001,-173573.99775333333
1.0,454137.12740333326,-92035.60464999998
2.0,454124.9115633333,-46888.61809999999
3.0,461575.7957833333,-94441.38356666666
4.0,452449.0306499999,-66073.04364999999
5.0,454873.5797433331,-108834.27173
6.0,503472.7945666666,-181684.84653333336
7.0,456803.6994466666,-98412.06078666668
8.0,453303.3895833334,-127512.92526666669
9.0,485428.3927466664,-113883.28986666666
10.0,469866.27051333326,-116425.6741666667
11.0,462911.79713,-87438.7135733333
12.0,479558.90464,-151341.35215000005
13.0,540565.2416833333,-153878.05033
14.0,451075.31313,-66334.36233333334
15.0,723465.3122933331,-305394.8910233333
16.0,502169.90404,-101015.03513333332
17.0,463739.39361333306,-201272.1345166668
18.0,470978.9839533334,-95965.86136666668
19.0,456275.11833,-89012.95066666669
20.0,488643.0626266665,-80647.48888333334
21.0,565954.3242499997,-178943.70440000002
22.0,483151.25325,-57073.314000000006
23.0,455022.1205833332,-100908.54911666666
24.0,488073.9987966666,-68745.79126666667
25.0,451072.4641599999,-42145.97245
26.0,506638.7598599998,-82053.60171666667
27.0,457535.12920000014,-125230.86045
28.0,469085.49926,-57681.73803333333
29.0,480102.5503099999,-104330.13916
30.0,465163.87926666654,-71429.61541333332
31.0,456972.7175166666,-44939.18486666668
32.0,471456.05420666654,-111862.11570999995
33.0,504114.4788666666,-118866.82604999996
34.0,460635.4078566665,-102773.3658
35.0,492317.4532333333,-215206.1279666666
36.0,487574.4104499999,-156209.0085833333
37.0,567170.4988299999,-248597.78963
38.0,498408.4968866668,-121662.96536666669
39.0,481554.2644499999,-132131.39091666669
40.0,470943.5969133333,-72381.97138
41.0,494450.64519,-98715.1106433333
42.0,520237.5141633333,-173033.74555000002
43.0,448459.1529766668,-45749.51798333333
44.0,491389.1451133335,-99937.56876666663
45.0,517909.32807666645,-135415.57535
46.0,485947.2206533331,-166334.83066999994
47.0,457220.70177,-164121.18826666666
48.0,511333.5024633335,-156514.6462333333
49.0,503602.8837899998,-141506.53992333333
50.0,564969.24825,-229547.98146666665
51.0,456412.9357999999,-81822.7917
52.0,546806.5120666663,-145762.54038333334
53.0,503115.08448,-154856.17169999998
54.0,483222.69409666647,-154525.11629999997
55.0,508060.3732266666,-146575.8088
56.0,492668.0857266665,-111512.11070000002
57.0,452788.35741000006,-75989.67619999999
58.0,479119.3671633332,-119448.37951666668
59.0,536401.7921533333,-179442.98818666663
60.0,464102.21396666655,-61855.43611666665
61.0,460295.6057833332,-86986.40811666667
62.0,460458.0862733332,-33529.77141666666
63.0,458562.7176166666,-75595.62433333334
64.0,497861.3745333332,-146179.02121666668
65.0,451720.1856933333,-75825.63955
66.0,592232.7063533332,-315235.81469333323
67.0,539459.5238433334,-153964.29920666668
68.0,487520.70077,-92487.1662
69.0,457323.0057833332,-38304.41798333333
70.0,539731.4707899999,-227264.02522999985
71.0,500975.9350800001,-140537.903
72.0,470907.72298666654,-75832.84091666667
73.0,457088.41789333336,-54029.60576666668
74.0,516127.72546999983,-172660.20321666665
75.0,497587.3259499999,-117636.06799999998
76.0,517497.2414333331,-203208.4249433333
77.0,460540.30531,-53217.46611666665
78.0,512461.8058966666,-159029.61562999996
79.0,502107.24063666665,-94961.27208333332
80.0,454327.5859866666,-85858.35761666669
81.0,455005.21076666645,-46495.37508333333
82.0,446410.0362699997,-37827.10871666666
83.0,464379.9127299999,-80562.3909533333
84.0,503239.2535300001,-150652.89617666666
85.0,496352.11125666666,-155907.15184666673
86.0,465906.9859633332,-78983.3692666667
87.0,488436.1628266664,-151818.59575333327
88.0,505912.8565099999,-163460.26924999998
89.0,519664.2053133333,-143520.32806333338
90.0,468670.0805,-150280.05179999996
91.0,519814.6417,-168719.25786666668
92.0,473237.2890499999,-86206.17088333334
93.0,520808.28549666656,-119127.10684999998
94.0,470786.6702399999,-50791.17406666666
95.0,539377.4104166664,-238731.17098333343
96.0,481600.79598666646,-137806.09933666664
97.0,509642.0786499999,-139132.83651666666
98.0,503412.7045366665,-130331.20096666666
